geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01001,-23.5501898,-46.6340236,sao paulo,SP
01002,-23.5481457,-46.6349792,sao paulo,SP
01003,-23.5489937,-46.6357313,sao paulo,SP
01004,-23.5497988,-46.6347569,sao paulo,SP
01005,-23.5494562,-46.6367329,sao paulo,SP
01006,-23.5501018,-46.6361367,sao paulo,SP
01007,-23.5500462,-46.6372515,sao paulo,SP
01008,-23.5460017,-46.6358859,sao paulo,SP
01009,-23.5468352,-46.6364907,sao paulo,SP
01010,-23.5463894,-46.6352261,sao paulo,SP
01011,-23.5469086,-46.6355820,sao paulo,SP
01012,-23.5477897,-46.6348590,sao paulo,SP
01013,-23.5471420,-46.6342358,sao paulo,SP
01014,-23.5459128,-46.6336154,sao paulo,SP
01015,-23.5476657,-46.6315586,sao paulo,SP
01016,-23.5489764,-46.6323519,sao paulo,SP
01017,-23.5495313,-46.6310238,sao paulo,SP
01018,-23.5509285,-46.6324315,sao paulo,SP
01019,-23.5517741,-46.6308934,sao paulo,SP
01020,-23.5523357,-46.6300497,sao paulo,SP
01021,-23.5430005,-46.6321432,sao paulo,SP
01022,-23.5449218,-46.6319313,sao paulo,SP
01023,-23.5423308,-46.6313734,sao paulo,SP
01024,-23.5414014,-46.6299040,sao paulo,SP
01025,-23.5402919,-46.6309281,sao paulo,SP
01026,-23.5396571,-46.6318842,sao paulo,SP
01027,-23.5380823,-46.6306687,sao paulo,SP
01028,-23.5359325,-46.6335551,sao paulo,SP
01029,-23.5413730,-46.6334160,sao paulo,SP
01030,-23.5395493,-46.6330233,sao paulo,SP
01031,-23.5419059,-46.6350876,sao paulo,SP
01032,-23.5401245,-46.6351935,sao paulo,SP
01033,-23.5392714,-46.6358781,sao paulo,SP
01034,-23.5425153,-46.6373674,sao paulo,SP
01035,-23.5416145,-46.6415491,sao paulo,SP
01036,-23.5416485,-46.6414433,sao paulo,SP
01037,-23.5454110,-46.6389244,sao paulo,SP
01038,-23.5439074,-46.6399938,sao paulo,SP
01039,-23.5413709,-46.6391653,sao paulo,SP
01040,-23.5410282,-46.6383247,sao paulo,SP
01041,-23.5439046,-46.6400465,sao paulo,SP
01042,-23.5448529,-46.6404105,sao paulo,SP
01043,-23.5457660,-46.6415025,sao paulo,SP
01044,-23.5455982,-46.6414527,sao paulo,SP
01045,-23.5423454,-46.6425270,sao paulo,SP
01046,-23.5459300,-46.6439975,sao paulo,SP
01047,-23.5461876,-46.6410674,sao paulo,SP
01048,-23.5471132,-46.6398399,sao paulo,SP
01049,-23.5470112,-46.6391657,sao paulo,SP
01050,-23.5492292,-46.6430302,sao paulo,SP
01101,-23.5282869,-46.6319575,sao paulo,SP
01102,-23.5255714,-46.6302875,sao paulo,SP
01103,-23.5354684,-46.6302908,sao paulo,SP
01104,-23.5349522,-46.6295704,sao paulo,SP
01105,-23.5340940,-46.6290777,sao paulo,SP
01106,-23.5302208,-46.6282213,sao paulo,SP
01107,-23.5260879,-46.6295899,sao paulo,SP
01108,-23.5272322,-46.6303544,sao paulo,SP
01109,-23.5246249,-46.6271032,sao paulo,SP
01120,-23.5301625,-46.6395114,sao paulo,SP
01121,-23.5278667,-46.6352569,sao paulo,SP
01122,-23.5311306,-46.6383248,sao paulo,SP
01123,-23.5291645,-46.6365824,sao paulo,SP
01124,-23.5282212,-46.6330954,sao paulo,SP
01125,-23.5272884,-46.6401643,sao paulo,SP
01126,-23.5270665,-46.6391528,sao paulo,SP
01127,-23.5254808,-46.6415955,sao paulo,SP
01128,-23.5237867,-46.6422097,sao paulo,SP
01129,-23.5240514,-46.6450730,sao paulo,SP
01130,-23.5248308,-46.6449299,sao paulo,SP
01131,-23.5223797,-46.6431078,sao paulo,SP
01132,-23.5215399,-46.6487392,sao paulo,SP
01133,-23.5204243,-46.6533223,sao paulo,SP
01134,-23.5188999,-46.6526903,sao paulo,SP
01135,-23.5261904,-46.6509700,sao paulo,SP
01136,-23.5239869,-46.6613514,sao paulo,SP
01137,-23.5228515,-46.6528092,sao paulo,SP
01138,-23.5224558,-46.6552539,sao paulo,SP
01139,-23.5207250,-46.6659390,sao paulo,SP
01140,-23.5204384,-46.6692372,sao paulo,SP
01141,-23.5203103,-46.6664390,sao paulo,SP
01142,-23.5199343,-46.6251300,sao paulo,SP
01144,-23.5235727,-46.6724246,sao paulo,SP
01150,-23.5329530,-46.6582459,sao paulo,SP
01151,-23.5316416,-46.6562888,sao paulo,SP
01152,-23.5298848,-46.6552764,sao paulo,SP
01153,-23.5299308,-46.6535491,sao paulo,SP
01154,-23.5305359,-46.6592957,sao paulo,SP
01155,-23.5290729,-46.6633200,sao paulo,SP
01156,-23.5289211,-46.6664372,sao paulo,SP
01189,-23.5321083,-46.6383947,sao paulo,SP
01200,-23.5315678,-46.6498691,sao paulo,SP
01201,-23.5360828,-46.6495394,sao paulo,SP
01202,-23.5337426,-46.6482805,sao paulo,SP
01203,-23.5359647,-46.6452996,sao paulo,SP
01204,-23.5359926,-46.6440898,sao paulo,SP
01205,-23.5364908,-46.6426420,sao paulo,SP
01206,-23.5358637,-46.6428187,sao paulo,SP
01207,-23.5391756,-46.6386542,sao paulo,SP
